Producto,Fecha 1,Provedor,Precio,,,,
Aceite Aguacate *,07/03/2025,Vicente,350,,,,
Aceite Capullo 500ml *,21/04/2025,Canasta,1.347,,,,
Aceite Clover 500ml¹,04/06/2025,Canasta,690,,,,
Aceite Clover 900ml*,04/03/2025,Canasta,1.144,,,,
Aceite Corona 500ml¹,1/07/2025,Canasta,620,,,,
Aceite Don Chef soya 500ml 94%¹,09/05/2024,Repre,717,,,,
Aceite Don Chef Soya 900ml,05/09/2022,Repre,1.509,,,,
Aceite En Su Punto 450ml*,05/11/2024,Canasta,674,,,,
Acetona Tapa Roja,30/04/2025,Vicente Serrano ,350,,,,
Achiote Achiotico pelota peq 10g¹,05/02/2025,Serrano ,73,,,,
Achiote Achiotico taza 95g**,10/07/2025,Serrano ,471,,,,
Achiote Achiotin pelot gd 90G,24/05/2025,Canasta,245,, ,,
Achiote Patitos 90g¹,01/08/2024,Max,580,,,,
Acondicionador Dove,14/07/2025,Insoma,92,,,,
Acondionador Pantene x24*,03/12/2024,Fabiola,98,,,,
Activador de fuego,06/04/2022,Maxi,365,,,,
Aderezo MC Cormick 200g,07/12/2022,Max,1.140,,,,
Agua Cielo 625ml x15*,06/02/2024,Big,333,,,,
Agua Oxigenada 60ml,30/04/2025,Serrano ,275,,,,
Agua Purificada Alma 600 ML,3/07/2025,Dos Pinos ,478,,,,
Aguja de Mano x20,12/02/2025,Serrano ,16,,,,
Aguja Maquina punta oro singer18-10U,28/02/2022,pasam SJ,100,,,,
Aguja Maquina x10,07/03/2024,Vicente,20,,,,
Alambrina Alumine Extra¹³ galvanizada ,14/03/2025,Repre,367,,,,
Alambrina Mediana Max,02/07/2025,Serrano ,250,,,,
Alambrinas Acril x 12 ,5/07/2025,Vicente ,96,,,,
Alcohol De La Caña 230ml*,18/07/2025,Vicente,671,,,,
Algodón Prosan 25g E,18/07/2025,Vicente,390,,,,
Alimento Concentrado Duketa Perro k,23/04/20025,Pozuelo ,927,,,,
Alimento Concentrado Gourmet 400g,19/06/2025,Pozuelo ,836,,,,
Áloe Vera Natural 360ml,04/07/2025,Big,400,,,,
Aloe Vera Natural Bio 500ml,03/06/2025,Big,680,,,,
Andrews Classico x 50U,11/07/2025,Solis,160,,,,
Andrews Limón x 50,14/05/2025,Serrano ,153,,,,
Angelitos Surt 1x50,15/04/2025,Gomufa,134,,,,
Aplicador Madera x100 1%,30/04/2025,Solis-Serr ,150,,,,
Aplicador Maquillaje FantsY,05/07/2020,Max,99,,,,
Arena 5 K,5/06/2025,Vicente ,3450,,,,
Arroz Luisiana 80% 1.7K,25/10/2024,Tosty,1.208,,,,
Arroz Luisiana 80% 900g,29/05/2025,Demasa,640,,,,
Arroz Luisiana 91% 1700g *,30/10/2023,Demasa,1.328,,,,
Arroz Luisiana 99% 900g,29/05/2025,Demasa,917,,,,
Arroz Luisiana 99⁵ % 1.8,29/05/2025,Demasa,1.874,,,,
Arroz Luisiana Precocido 95%,29/05/2025,Demasa,1.220,,,,
Arroz Tío Pelón 99%,26/04/2023,Canasta,1.724,,,,
Arroz Tío Pelón Azul 80% 1.8g,15/01/2023,Canasta,1.241,,,,
Atún Aurora Azul 140G ¹,10/05/2025,Repre,641,,,,
Atún Aurora Azul 230g¹,23/05/2025,Repre,894,,,,
Atún Aurora Vegt 140G *,20/05/2025,Repre,641,,,,
Atún Aurora Vegt 230g,13/06/2025,Repre,894,,,,
Atún Gato Vital N 85 g,24/05/2024,Repre,492,,,,
Atún Sardimar A 140g*,23/05/2025,Repre,975,,,,
Atún Sardimar A fam*,09/04/2021,El Llano,1.296,,,,
Atún Sardimar V 140g*,23/05/2025,Repre,975,,,,
Atún Sardimar V fam*,27/11/2020,Repre,1.444,,,,
Atún Splash Azul 140g *,13/06/2025,Repre,594,,,,
Atún Tesoro Azul Trocitos 140,04/10/2024,Repre,954,,,,
Atún Tesoro Azul Trozos 140g,29/07/2022,Maxi,1.178,,,,
Atún Tesoro Jalapeño 140,17/01/2024,Repre,1.198,,,,
Atún Tesoro Trozos Agua 140G,02/05/2025,Repre,1.198,,,,
Atún Tesoro Vegt 140g,04/10/2024,Repre,919,,,,
Avena D Gusto 150g,13/08/2024,Aje,280,,,,
Avena Quaker 180g¹,23/05/2025,Maxi,965,,,,
Azúcar Doña María 1k¹,06/06/2025,Canast Max,713,,,,
Azúcar Doña María 2k¹,20/11/2024,Canasta,1.400,,,,
Barquillo Jack's Chocolate 145 g,21/06/2025,Jacks,1.230,,,,
Barquillo Jack's Combinado 42G x10,17/10/2024,Jacks,375,,,,
Barquillo Jack's Vainilla 68g,03/04/2025,Jacks,458,,,,
Barquillo Veteado 85g,22/05/2025,Jacks,667,,,,
Barra Cereal jack's ²⁴g,05/07/2025,Jack's,180,,,,
Barra Cereal Jacks Fruttal ²⁷g,07/03/2025,Jacks,208,,,,
Barra Cereal Tosh,27/02/2024,Pozuelo,200,,,,
Bebida Vikingo Lata 269ml,17/07/2025,Dos Pinos,458,,,,
Betun Liquido Nugget Negro 60ml,05/07/2024,Repre,1.429,,,,
Betún Liquido Virginia 60 ml,07/07/2024,Canasta,1.032,,,,
Betún Pasta Kiwi 30gr,29/01/2021,Cadena,957,,,,
Betún Pasta Nugget Negro 12g,23/05/2025,Repre,588,,,,    
Biberon Gerber,01/08/2023,Maxi,1.000,,,,
Block Rayado,06/06/2023,Cadena,637,,,,
Bocadito Cabsha x6,19/12/2022,Gomufa,191,,,,
Boletas OCP x50*,02/07/2025,Serrano ,280,,,,
Boli Helado,14/07/2025,Genesis,90,,,,
Bolinchas Coquito x 3,02/06/2021,Casoma,990,,,,
Bolsa 8 x 16 Avispón 2.5k,23/12/2024,Avispón,5.300,,,,
Bolsa Chorrear Café,07/05/2025,Serrano,300,,,,
Bolsa Olímpica grande,21/04/2025,Canasta ,644,,,,
Bolsa Olympic Jardinera*,24/05/2025,Canasta,920,,,,
Bolsa Sandwich LINK x70*,1/07/2025,Canasta,520,,,,
Bolsa Sanwich Ziplo x 20,17/01/2024,Llano ,1.092,,,,
Bolsa Zesta Gd ¹,05/11/2024,Canasta,566,,,,
Bombillo 15 w1%,24/03/2022,Canasta,0,,,,
Bombillo Estrella 9 w LED ,23/04/20025,Serrano ,750,,,,
Bombillo Exolite LED w,11/03/2024,RP,1.260,,,,
Bombillo Ilukon 100w,07/05/2025,Serrano ,350,,,,
Bombillo Philips 100 *,31/07/2024,Serrano,450,,,,
Bombillo philips 25w,26/11/2021,El Llano,303,,,,
Bombillo Philips 75W *,27/01/2024,Solis,385,,,,
Borrador Pointer gd x 20,17/03/2024,Vicente,85,,,,
Brillo Contraste Fino 35Gr- 15=20,30/08/2024,RP,305,,,,
Brillo Contraste Grueso 20g,10/05/2024,Repre,362,,,,
Brillo Labial,22/11/2023,Vicente,279,,,,
Café 1820 125g¹,04/06/2025,Canasta,1.254,,,,
Café 1820 250g¹,13/01/2024,Canasta,2.094,,,,
Café Colcafé Frasco* 380g,17/07/2025,Pozuelo,3.823,,,,
Café Colcafé Perú 3en1 caj x12*,22/01/2025,Pozuelo,185,,,,
Café Gemelo 200g*,13/02/2025,Alfa,896,,,,
Café Rey 125g ¹,13/01/2024,Canasta,962,,,,
Café Rey 200g,13/02/2025,Canasta,1.479,,,,
Café Sasso 200g x2 ¹,04/03/2025,Canasta,863,,,,
Café Volio 250 ☕,20/09/2024,Jesán ,1.864,,,,
Cajita Chinches,22/11/2023,Vicente,117,,,,
Calamar Calvo en Trozos,10/08/2019,Maxi,500,,,,
Calculadora Color,01/01/2022,Maxi,600,,,,
Calculadora Negra,01/01/2023,Maxi,300,,,,
Candela Blanca Mundoluz x 8U **,16/07/2025,Serrano ,87,,,,
Candela Cumpleaños ##,10/04/2024,Serrano ,190,,,,
Candela p/ cumpleaños Palito,22/11/2024,Vicente ,210,,,,
Candela p/ Farol,17/08/2022,Vicente,320,,,,
Candela Signo,10/04/2024,Vicente,249,,,,
Candela Vela Parafina x 25,26/09/2024,Vicente ,79,,,,
Caramelo Fruna Frugosa x 12,22/04/2022,Diana,80,,,,
Caramelo Fruwi x 50,02/07/2025,Gomufa ,20,,,,
Caramelo Liquido Monster x 24,14/04/2025,Gomufa ,81,,,,
Caramelo Ricatto Duro x50,17/10/2022,Gomufa,20,,,,
Caramelo Ricatto Leche x50,16/07/2025,Gomufa ,20,,,,
Caramelo Tubito Winis x16,10/07/2023,Fabiola,80,,,,
Carbón La Llamita 2k,12/10/2020,Solis,1.136,,,,
Cargador de Encendedor Vox,09/01/2024,Vicente,830,,,,
Carne Molida Burbuja 200 g,26/04/20025,Cinta Azul,1.005,,,,
Cartón Presentación Blanco hoja x10,17/03/2021,Casoma,118,,,,
Cepillo 2 Pack Medio,07/05/2025,Serrano ,350,,,,
Cepillo Colgate Carbón Suave ,14/07/2025,Gomufa,400,,,,
Cepillo Colgate Classico ClearMed-D,16/07/2025,Serrano,450,,,,
Cepillo Colgate Duro¹,28/05/2025,Serrano ,588,,,,
Cepillo Colgate niño - con estuche,08/01/2024,Serrano ,300,,,,
Cepillo Esqueleto,24/10/2024,Vicente,240,,,,
